,name_path,score
0,W / X / Y,0.9996646001238467
1,Habit,0.9995323602260694
2,ミックスナッツ,0.9998396875351228
3,ダンスホール,0.9997985819298096
4,シンデレラボーイ,0.9990751703837814
5,ベテルギウス,0.9999116432276114
6,エジソン,0.9995834143149571
7,POP!,0.9998172989806261
8,新時代 - ウタ from ONE PIECE FILM RED,0.9999549488605196
9,なんでもないよ、,0.9997872261805378
10,愛とか恋とか,0.9990538661550995
11,Celebrate,0.9999498064944249
12,MASCARA,0.9998646615896228
13,雨燦々,0.9994007296661817
14,水平線,0.9999544211849735
15,ドライフラワー,0.9997686109038807
16,Dynamite,0.9997086840856626
17,シャッター,0.9997649664449595
18,優しさに溢れた世界で,0.9994096917342808
19,カメレオン,0.9970359214788324
20,CITRUS,0.9996960160862516
21,きらり,0.9991096389248423
22,Bye-Good-Bye,0.9995610438398608
23,群青,0.9999695041644018
24,残響散歌,0.9999368775616864
25,Butter,0.9994995411081686
26,Mela!,0.9999869181201864
27,バニラ,0.999812839288708
28,Left and Right (Feat. Jung Kook of BTS),0.9994135636783008
29,点描の唄,0.9987207998566723
30,YOKAZE,0.9988689842500816
31,Permission to Dance,0.9996515886117715
32,夜に駆ける,0.9997051752298112
33,STAY (with Justin Bieber),0.9998390167793453
34,LOVE DIVE,0.9997820271664858
35,勿忘,0.9970065218740441
36,FEARLESS,0.9985799604796091
37,逆夢,0.998634073477011
38,魔法の絨毯,0.9972813737409199
39,常緑,0.9991539855962428
40,Yet To Come,0.9999201553772455
41,一途,0.9999313583569869
42,恋風邪にのせて,0.9998631592386327
43,Comedy,0.9980364446828277
44,115万キロのフィルム,0.9999254177657179
45,Cry Baby,0.9999063651388155
46,ハート,0.9980988038729873
47,怪物,0.9999706640146387
48,三原色,0.9999686857977501
49,Pretender,0.9996725013502236
